지점,지점명,일시,Aerosol,Temp_avg,Temp_min,Temp_max,Humidity,sunshine time,Total daylight hours,cloud cover,cumulative UV,Maximum UV
129,서산,2020-04-14,145.7,9.9,0.7,19.1,55.3,13.1,12.1,1.3,1.225,0.16
129,서산,2020-04-15,181.3,10.9,2.3,20.7,46.3,13.2,11.3,5.9,1.006,0.119
129,서산,2020-04-16,148.1,13.6,3.6,22.7,47.4,13.2,10.9,4.1,1.178,0.146
129,서산,2020-04-17,94.2,13.1,9.4,17.1,76.5,13.2,3.4,7.1,0.837,0.132
129,서산,2020-04-18,112.5,12.1,7.5,18.2,74,13.3,9.8,5.6,0.935,0.168
129,서산,2020-04-19,130.2,10.7,7,15.2,86.6,13.3,0,9.8,0.265,0.044
129,서산,2020-04-20,56.4,9.8,6.1,14,80.6,13.3,5.7,5.5,0.582,0.135
129,서산,2020-04-21,16.9,7.9,4.3,11.2,52.9,13.4,11.6,5.6,1.26,0.19
129,서산,2020-04-22,17.7,7.2,5.1,10.6,42.6,13.4,10,3.4,1.214,0.16
129,서산,2020-04-23,25.1,8.7,4.1,14.2,47.9,13.4,12.3,0.1,1.224,0.148
129,서산,2020-04-24,26.2,9.4,0.4,14.8,60.1,13.5,12.4,0.4,1.245,0.146
129,서산,2020-04-25,75.3,12.7,7,17.6,60,13.5,11.5,1.4,0.978,0.113
129,서산,2020-04-26,48.3,10.7,2.8,18.3,51.3,13.5,12.4,2.4,1.308,0.147
129,서산,2020-04-27,71.3,10.8,2.9,18.4,53.4,13.6,12.2,2.1,1.259,0.137
129,서산,2020-04-28,65.6,11.4,2.6,18.6,68.4,13.6,12.3,0.8,1.239,0.161
129,서산,2020-04-29,47.9,13.5,7.1,20.7,52.1,13.6,12.5,0.6,1.274,0.163
129,서산,2020-04-30,48.2,15.8,5.9,22.1,68.1,13.7,6.1,4.1,1.016,0.158
129,서산,2020-05-01,114.5,18.1,15.4,23,85.3,13.7,3.2,7.4,0.564,0.091
129,서산,2020-05-02,116.7,19.5,16.4,22.5,81,13.8,0.5,8.6,0.713,0.129
129,서산,2020-05-03,95.6,20.1,15.8,25,75.6,13.8,6.3,7.3,1.003,0.203
129,서산,2020-05-04,93.5,17.1,9.7,24.3,73.6,13.8,11.3,5.9,1.255,0.181
129,서산,2020-05-05,122.9,11.7,8.5,16.6,89.6,13.8,1.8,6.8,0.375,0.073
129,서산,2020-05-06,150.2,17.5,9.7,26,63.1,13.9,12.9,2.5,1.387,0.187
129,서산,2020-05-07,29.8,18.9,11.3,27.4,39.5,13.9,11.4,6.1,1.364,0.207
129,서산,2020-05-08,66.3,17.6,12.5,24.9,50.4,13.9,6.9,8.1,1.002,0.208
129,서산,2020-05-09,37.9,14.9,12.4,18.7,96,14,0,9.6,0.298,0.076
129,서산,2020-05-10,100.3,13.9,11.9,17.4,91.9,14,1.9,7,0.698,0.129
129,서산,2020-05-11,291.2,15.4,12.1,20.2,78.6,14,9.6,5,1.205,0.183
129,서산,2020-05-12,59.4,14.1,9.6,19.7,73.5,14.1,11.2,2.3,1.173,0.147
129,서산,2020-05-13,13.2,14.8,6.8,21.3,58.5,14.1,12.5,0.1,1.386,0.169
129,서산,2020-05-14,14,18.8,11.4,25,40.6,14.1,6.8,9.1,0.938,0.153
129,서산,2020-05-15,33.2,16.2,14,19.7,86.8,14.1,0,9.5,0.281,0.103
129,서산,2020-05-16,31.5,14.8,13.5,17.5,93.8,14.2,0,7,0.555,0.095
129,서산,2020-05-17,105.1,17.8,13,25.5,83.6,14.2,7.9,4.3,1.037,0.166
129,서산,2020-05-18,122.9,17.7,12.6,27.6,82.9,14.2,3,8,0.63,0.163
129,서산,2020-05-19,17.7,14.2,11.6,18.3,75.6,14.2,5.6,6.9,0.88,0.18
129,서산,2020-05-20,6.2,14.4,10.7,20.1,58.3,14.3,8.9,4.9,1.212,0.2
129,서산,2020-05-21,36.8,16.3,9.4,23.3,69.3,14.3,9,4.6,1.202,0.17
129,서산,2020-05-22,99.6,17.7,12.8,23.6,75,14.3,5.7,7.9,1.07,0.165
129,서산,2020-05-23,82.2,19.2,13.6,23.6,72.8,14.3,12,4.9,1.422,0.185
129,서산,2020-05-24,53.7,17.4,13.2,22,82.6,14.4,7.7,7,0.602,0.108
129,서산,2020-05-25,58.7,15.9,13.1,20.5,83.3,14.4,3.9,8.3,0.728,0.136
129,서산,2020-05-26,110.6,16.3,12.5,23.9,79.8,14.4,6.3,7.3,1.188,0.205
129,서산,2020-05-27,43.9,17.1,11.7,23.7,72.6,14.4,13.2,5,1.489,0.209
129,서산,2020-05-28,51.8,17,10.9,22.9,75,14.5,11.5,2.1,1.469,0.197
129,서산,2020-05-29,84.4,18.9,11.5,27.1,71.9,14.5,8.5,5,1.388,0.193
129,서산,2020-05-30,181.8,20.7,13.3,28.7,62.8,14.5,10.4,4.6,1.322,0.196
129,서산,2020-05-31,201.8,19.9,13.8,25.3,66.5,14.5,5.5,6,0.993,0.2
129,서산,2020-06-01,60.2,18.5,14,23.7,78.8,14.5,12.9,3.8,1.196,0.2
129,서산,2020-06-02,83.2,17.3,13.6,22.3,82.4,14.5,2.1,8.6,0.426,0.114
129,서산,2020-06-03,73.8,20.4,17.2,25.5,88.3,14.6,6.2,6.4,0.802,0.16
129,서산,2020-06-04,35,19.7,18.3,23.5,93.8,14.6,0.5,7.1,0.658,0.11
129,서산,2020-06-05,47.6,20.9,17.1,28.4,81.6,14.6,6.7,6.3,0.924,0.173
129,서산,2020-06-06,134.5,21.5,15.9,29.2,77,14.6,11,3.9,1.178,0.17
129,서산,2020-06-07,120.8,20.8,17,26.4,82,14.6,8,5.6,1.273,0.187
129,서산,2020-06-08,74.6,23.2,16.8,31.1,64,14.6,12.9,0.4,1.38,0.179
129,서산,2020-06-09,97.2,24.5,16.4,33.1,56.4,14.6,12.6,2.6,1.436,0.201
129,서산,2020-06-10,120,24.1,18.8,33.2,73.3,14.6,8.1,8.3,1.178,0.243
129,서산,2020-06-11,114.3,23.9,19.7,29.6,80.9,14.6,9.6,4.1,1.278,0.211
129,서산,2020-06-12,52,21.8,18.9,26,89.4,14.6,1.1,9.6,0.542,0.173
129,서산,2020-06-13,289,24.7,20.1,30.6,81.1,14.7,9,7.4,1.424,0.23
129,서산,2020-06-14,91.5,23.1,18.6,28.6,77,14.7,6.8,5.6,1.106,0.226
129,서산,2020-06-15,57.5,21.6,16.9,26.1,76.3,14.7,12.1,5,1.296,0.203
